,sentence,DA_tag
95,Uh huh,accept
96,What does a collier mine ?,wh-question
97,But uh well keep up the good um,farewell
98,Right,accept
99,Yes,accept
100,Yeah,accept
101,Right,accept
102,No,reject
103,Oh I see,accept
104,Uh huh,accept
105,Yeah,accept
106,Uh huh,accept
107,Yeah laughter,accept
108,Yes,accept
109,What is predicted to topple over between 2010 and 2020 ?,wh-question
110,Yeah,accept
111,Um,accept
112,What organization did Mr. Waverly assign agents for ?,wh-question
113,Yeah,accept
114,Uh huh,accept
115,Yes,accept
116,Uh huh,accept
117,I see,accept
118,Which king signed the Magna Carta ?,wh-question
119,who do you like Laughter,wh-question
120,Oh laughter,accept
121,Yeah,accept
122,yeah,accept
123,Yeah,accept
124,Uh huh,accept
125,Yes,accept
126,Uh huh,accept
127,Right,accept
128,D C,farewell
129,Right,accept
130,Yeah,accept
131,Uh huh,accept
132,Uh huh very faint,accept
133,okay,accept
134,Uh huh,accept
135,Uh huh,accept
136,Uh huh popping,accept
137,Oh,accept
138,Uh huh,accept
139,Uh huh,accept
140,Uh huh,accept
141,Yeah,accept
142,Uh huh,accept
143,Right,accept
144,Right,accept
145,Yeah,accept
146,Right,accept
147,Dont talk,imperative
148,Uh huh,accept
149,right,accept
150,How are you doing,greeting
151,Yeah,accept
152,Which German president was pressured into appointing Hitler chancellor in 1933 ?,wh-question
153,Oh,accept
154,Yeah,accept
155,Yeah,accept
156,But no,reject
157,Right,accept
158,so what s your,wh-question
159,Right,accept
160,Uh huh,accept
161,right,accept
162,What do you teach what grade,wh-question
163,Uh huh,accept
164,Where do the Grimace and Mayor McCheese live ?,wh-question
165,Huh uh,accept
166,How long does the average domesticated ferret live ?,wh-question
167,Yes,accept
168,Uh huh,accept
169,Oh,accept
170,Uh huh,accept
171,When did the Carolingian period begin ?,wh-question
172,Yeah,accept
173,Which I was kind of leaning toward anyway to tell you the truth,accept
174,Oh,accept
175,Yeah,accept
176,Yeah,accept
177,Uh huh,accept
178,Right,accept
179,What was the role of the Medieval Guild ?,wh-question
180,Yeah,accept
181,Yeah,accept
182,Yeah,accept
183,uh huh,accept
184,Yeah,accept
185,Oh yeah,accept
186,Uh huh,accept
187,Yeah laughter,accept
188,Yeah,accept
189,Uh huh,accept
190,Yes,accept
191,Huh,accept
192,Yeah,accept
193,What did the ancients call the four great elements ?,wh-question
194,Yeah,accept
195,What in the world do you do with your computer that takes so much time,wh-question
196,Uh huh,accept
197,Uh huh,accept
198,Oh yeah,accept
199,Okay,accept
200,Yeah,accept
201,Yeah,accept
202,Yeah,accept
203,Uh huh,accept
204,Uh huh,accept
205,Uh huh,accept
206,Yeah,accept
207,Oh yeah,accept
208,What meat complemented sweet potatoes and peas in the first TV dinner ?,wh-question
209,Very faint Uh huh,accept
210,and what would you uh cook in uh uh let s see if you were giving a dinner party,wh-question
211,Right,accept
212,Yeah,farewell
213,What is Jane Goodall famous for ?,wh-question
214,Really,accept
215,Laughter Yeah,accept
216,Okay,farewell
217,uh huh,accept
218,Oh,accept
219,Yeah,accept
220,Right laughter,accept
221,uh huh,accept
222,"When reading classified ads , what does EENTY : other stand for ?",wh-question
223,Uh huh,accept
224,Uh huh,accept
225,Oh,accept
226,Uh huh,accept
227,so Yeah,accept
228,Huh uh,accept
229,How many years did Sleeping Beauty sleep ?,wh-question
230,Uh huh,accept
231,What can be done about snoring ?,wh-question
232,What is a 2-sided object called ?,wh-question
233,Right,accept
234,Uh huh,accept
235,Yeah,accept
236,Yeah,accept
237,Uh huh,accept
238,Uh huh,accept
239,Oh,accept
240,How effective are condoms in protecting against AIDS ?,wh-question
241,Okay,accept
242,Yeah,accept
243,yeah,accept
244,Yeah,accept
245,Uh huh,accept
246,Uh huh,accept
247,Rotary engines used to be made by whom ?,wh-question
248,What 's the name of the Tokyo Stock Exchange ?,wh-question
249,Uh huh,accept
250,Uh huh,accept
251,Bye bye,farewell
252,Uh huh,accept
253,Yes,accept
254,Uh huh,accept
255,what would you get,wh-question
256,Where did the myth of Santa Claus originate ?,wh-question
257,Right,accept
258,Uh huh,accept
259,Oh yes,accept
260,Uh huh,accept
261,Uh huh,accept
262,Uh huh,accept
263,Oh yes laughter,accept
264,Yeah,accept
265,Uh huh,accept
266,What is the term for the sum of all genetic material in a given organism ?,wh-question
267,Yeah,accept
268,Uh huh,accept
269,You know it it s taking time,farewell
270,Why is that,wh-question
271,Uh huh,accept
272,Now where is this,wh-question
273,How long does it take for your blood to make one complete trip through the body ?,wh-question
274,Yeah,accept
275,Yeah,accept
276,Who was Tiny Tim 's father ?,wh-question
277,Yeah,accept
278,Yeah,accept
279,What state is Mount McKinley in ?,wh-question
280,Where are the 49 steps ?,wh-question
281,Really,accept
282,How can I gain access to a spy satelite ?,wh-question
283,to you,farewell
284,Huh,accept
285,yeah,accept
286,Bye bye,farewell
287,Uh huh,accept
288,Okay,accept
289,Yeah,accept
290,Yeah,accept
291,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",wh-question
292,Take them out,accept
293,Do you,accept
294,Well,accept
295,Uh huh,accept
296,Yeah,accept
297,Right,accept
298,What was the former residence of Scottish kings in Edinburgh ?,wh-question
299,Yeah,accept
300,Yeah,accept
301,Okay,farewell
302,Yeah,accept
303,Throat_clearing Uh huh,accept
304,Uh huh,accept
305,Uh huh,accept
306,Uh huh,accept
307,Uh huh,accept
308,Yeah,accept
309,Uh huh,accept
310,uh huh,accept
311,Woodrow Wilson served as president of what university ?,wh-question
312,yeah,accept
313,Uh huh,accept
314,Okay,farewell
315,Uh huh,accept
316,What does N est-ce pas mean ?,wh-question
317,no,reject
318,Right,accept
319,Good luck,farewell
320,Oh,accept
321,What well-known music personality is the father of an adopted son named Hans Christian Henderson ?,wh-question
322,Right,accept
323,well I hope you have good weather the rest of the summer,farewell
324,Who was Hitler 's minister of propaganda ?,wh-question
325,What hide-and-seek game is played around a tin can ?,wh-question
326,Yeah laughter,accept
327,this is Laurie,greeting
328,Uh huh,accept
329,Yeah,accept
330,Yeah,accept
331,Right,accept
332,our topic today,wh-question
333,Uh huh,accept
334,Uh huh,accept
335,What U.S. President had brothers-in-law in the Confederate army ?,wh-question
336,Well yeah,accept
337,Yeah,accept
338,What company makes impulse hardening equipment ?,wh-question
339,Uh huh,accept
340,Uh huh,accept
341,Which one,wh-question
342,How do I start a bank ?,wh-question
343,Uh huh,accept
344,Uh huh,accept
345,Right,accept
346,Yeah,accept
347,Yeah,accept
348,Oh what kind do you have Laughter,wh-question
349,Yeah,accept
350,Uh huh,accept
351,What is the name of the American who was captured when his plane went down over Syrian-held Lebanon ?,wh-question
352,Yeah,accept
353,Huh,accept
354,Oh yeah,accept
355,Yeah,accept
356,Yeah,accept
357,Yeah,accept
358,Uh huh,accept
359,Yeah,accept
360,Sure,accept
361,Uh huh,accept
362,Yeah,accept
363,Huh,accept
364,Yeah,accept
365,Right,accept
366,uh huh,accept
367,I just heard about it and found it fun Laughter,farewell
368,How did the Great Depression affect Japan 's history ?,wh-question
369,Very faint Uh huh,accept
370,Okay,farewell
371,Yeah,accept
372,Uh huh,accept
373,Yeah,accept
374,Right,accept
375,Yeah,accept
376,Yeah,accept
377,Oh yes,accept
378,Uh huh,accept
379,what was that movie that they had out,wh-question
380,Yeah,accept
381,Uh huh,accept
382,Uh huh,accept
383,Uh huh,accept
384,down there it s just like meat and potatoes you know,farewell
385,Which Ventura County police department seized the largest cocaine shipment in it 's history ?,wh-question
386,Yeah,accept
387,Uh huh,accept
388,Yeah,accept
389,Yeah,accept
390,Yeah,accept
391,Yeah,accept
392,Yeah,accept
393,Thanks,farewell
394,Yeah,accept
395,The corpus callosum is in what part of the body ?,wh-question
396,Oh,accept
397,Uh huh,accept
398,Yeah,accept
399,What is a fear of crystals or glass ?,wh-question
400,I have a,reject
401,Yeah,accept
402,oh,accept
403,Oh yeah,accept
404,Yeah,accept
405,Uh huh,accept
406,What s yours,wh-question
407,Yeah,accept
408,Uh huh,accept
409,Yeah,accept
410,"What is the history of Spartacus , the Roman slave and gladiator ?",wh-question
411,What high school does Archie attend ?,wh-question
412,Uh huh,accept
413,Uh huh,accept
414,I don t think so,reject
415,Who created Big Ben ?,wh-question
416,Right,accept
417,How does that uh,wh-question
418,Who was made the first honorary citizen of the U.S. ?,wh-question
419,Uh huh,accept
420,Yeah,accept
421,Right,accept
422,What island was the target of the U.S. 's Operation Urgent Fury ?,wh-question
423,Yeah,accept
424,Uh huh,accept
425,Uh huh,accept
426,Yeah,accept
427,Uh huh,accept
428,Well yes,accept
429,Yeah,accept
430,Uh huh,accept
431,Oh okay,accept
432,What foods contain the most protein ?,wh-question
433,Uh huh,accept
434,Yeah,accept
435,Very faint Yeah,accept
436,Yeah,accept
437,Uh huh,accept
438,Bye bye,farewell
439,Uh huh,accept
440,Uh huh,accept
441,Uh huh,accept
442,Uh huh,accept
443,Really,accept
444,uh huh,accept
445,Yeah,accept
446,Yeah,accept
447,what kind of fishing do you do,wh-question
448,yeah,accept
449,Uh huh,accept
450,Sure,accept
451,Yeah,accept
452,Faint Uh huh,accept
453,Uh huh,accept
454,Inhaling My name s Gail,greeting
455,Uh huh,accept
456,Uh huh,accept
457,Yeah,accept
458,And yeah,accept
459,Uh huh,accept
460,How many states have a lottery ?,wh-question
461,What does MSG stand for ?,wh-question
462,Right,accept
463,I hope you get back into camping again and do a little more of it,farewell
464,Uh huh,accept
465,Uh huh,accept
466,Yeah,accept
467,Yeah,accept
468,Yeah,accept
469,Well no,reject
470,Report on what you find.,imperative
471,Uh huh,accept
472,Uh huh,accept
473,Oh laughter,accept
474,Uh huh,accept
475,Okay,farewell
476,Okay,accept
477,Laughter Yeah,accept
478,Uh huh,accept
479,Right,accept
480,Yeah,accept
481,Who won two gold medals in skiing in the Olympic Games in Calgary ?,wh-question
482,Who was the star of Leave It to Beaver ?,wh-question
483,Yeah,accept
484,Uh huh,accept
485,Right,accept
486,Uh huh,accept
487,Very faint Uh huh,accept
488,uh huh,accept
489,uh huh,accept
490,Uh huh,accept
491,Oh,accept
492,Bye now,farewell
493,Uh huh,accept
494,very faint uh huh,accept
495,Yeah,accept
496,right,accept
497,Uh huh,accept
498,Yeah,accept
499,Uh huh,accept
500,Where is the world 's most active volcano located ?,wh-question
501,Yeah,accept
502,In which Kevin Costner movie did Sioux Indians play a role ?,wh-question
503,Yeah,accept
504,Yeah,accept
505,Uh huh,accept
506,Very faint Uh huh,accept
507,How many colored squares are there on a Rubik 's Cube ?,wh-question
508,Uh huh,accept
509,Uh huh,accept
510,okay,accept
511,I m from Pennsylvania,reject
512,Yeah,accept
513,Uh huh,accept
514,Uh huh,accept
515,So what are your thoughts on dining out,wh-question
516,Who is the worst US President ever ?,wh-question
517,Uh huh,accept
518,yeah,accept
519,Yeah,accept
520,Right,accept
521,What are your favorite T V shows,wh-question
522,Yeah,accept
523,Uh huh,accept
524,Yeah,accept
525,"Who wrote the book , `` Song of Solomon '' ?",wh-question
526,Yeah,accept
527,Yeah,accept
528,Uh huh,accept
529,Uh huh,accept
530,Uh huh,accept
531,Uh huh,accept
532,Yeah,accept
533,What percentage of Americans own their homes ?,wh-question
534,Yeah,accept
535,Yeah,accept
536,Yeah,accept
537,Right,accept
538,Oh,accept
539,Uh huh,accept
540,Uh huh,accept
541,Really,accept
542,Right,accept
543,What was that anyway,wh-question
544,What is hyperopia ?,wh-question
545,What condiment do the Dutch dip their French fries in ?,wh-question
546,Okay laughter,farewell
547,Uh huh,accept
548,Yes,accept
549,Right,accept
550,Hi,greeting
551,Uh huh,accept
552,Uh huh,accept
553,yeah,accept
554,Right,accept
555,Yeah,accept
556,Uh huh,accept
557,Right,accept
558,Uh huh,accept
559,Yeah,accept
560,Uh huh,accept
561,Yes,accept
562,Oh,accept
563,Huh,accept
564,Yeah,accept
565,Oh,accept
566,right,accept
567,What is 55 times sweeter than cane sugar ?,wh-question
568,Right,accept
569,bye,farewell
570,What is an aortic abdominal aneurysm ?,wh-question
571,Really,accept
572,Yeah,accept
573,Yeah,accept
574,Uh huh,accept
575,What novel inspired the movie BladeRunner ?,wh-question
576,Huh uh,accept
577,Huh,accept
578,Uh huh,accept
579,Right,accept
580,"In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?",wh-question
581,What is the virus HIV ?,wh-question
582,Yeah,accept
583,Right,accept
584,Right,accept
585,What are the limits to `` self-defense ? '',wh-question
586,Yeah laughter,accept
587,Yeah,accept
588,Uh huh,accept
589,Um,accept
590,Very faint Yeah,accept
591,Oh,accept
592,Uh huh,accept
593,Yes,accept
594,Yeah,accept
595,Um yeah,accept
596,Yeah,accept
597,Okay,accept
598,Laughter Yeah laughter,accept
599,Yeah,accept
600,Sure,accept
601,Yeah,accept
602,Uh huh,accept
603,Yeah breathing,accept
604,oh yeah laughter,accept
605,Uh huh,accept
606,Right,accept
607,What building are you in,wh-question
608,Huh uh,accept
609,Yeah,accept
610,Yeah,accept
611,Yeah,accept
612,Oh well,accept
613,Uh huh,accept
614,What did Cool Hand Luke go to jail for ?,wh-question
615,Okay,accept
616,Uh huh,accept
617,Uh huh,accept
618,Yeah,accept
619,yeah,accept
620,Yeah,accept
621,Uh huh,accept
622,Uh huh,accept
623,I see,accept
624,bye bye,farewell
625,Uh huh,accept
626,Uh huh,accept
627,Uh huh,accept
628,Huh,accept
629,Yeah,accept
630,yeah,accept
631,What time of day did Emperor Hirohito die ?,wh-question
632,Uh huh,accept
633,same here,farewell
634,Uh huh,accept
635,What is the price for AAA 's liability auto insurance ?,wh-question
636,Uh huh,accept
637,Yeah,accept
638,What,wh-question
639,Yeah,accept
640,Uh huh,accept
641,What debts did Qintex group leave ?,wh-question
642,Right,accept
643,Uh huh,accept
644,If ta it s winding down or what,farewell
645,What country is Mount Everest in ?,wh-question
646,yeah,accept
647,Thank you,farewell
648,Uh huh,accept
649,What country is the setting for Edgar Allan Poe 's The Pit and the Pendulum ?,wh-question
650,Uh huh,accept
651,Uh huh,accept
652,Laughter Yeah,accept
653,Uh huh,accept
654,Yeah,accept
655,Uh huh,accept
656,Uh huh,accept
657,Sure,accept
658,yeah,accept
659,Yeah,accept
660,Right,accept
661,Uh huh,accept
662,What civil war was fought between 1936 and 1939 ?,wh-question
663,Uh huh,accept
664,Yeah,accept
665,Right,accept
666,Uh huh,accept
667,Uh huh,accept
668,Uh huh,accept
669,Yeah,accept
670,What is a fear of water ?,wh-question
671,Yeah,accept
672,Bye bye now,farewell
673,Yes,accept
674,What was a California prayer book to an Old West gambler ?,wh-question
675,When was the Brandenburg Gate in Berlin built ?,wh-question
676,Uh huh,accept
677,What infectious disease is the world 's deadliest ?,wh-question
678,Yes,accept
679,Uh huh,accept
680,Uh huh,accept
681,Yeah,accept
682,Oh yes,accept
683,Right breathing,accept
684,Yeah,accept
685,Yeah,accept
686,Yeah,accept
687,okay,accept
688,Uh huh,accept
689,Uh huh,accept
690,Yeah,accept
691,Uh yeah,accept
692,Uh the one the most valueless girl doesn t,reject
693,Uh huh child_talking,accept
694,Yeah,accept
695,How many elephants are left on earth ?,wh-question
696,Uh huh,accept
697,Yeah,accept
698,Yeah,accept
699,Oh yeah,accept
700,Uh huh,accept
701,Right,accept
702,Yeah,accept
703,Well,reject
704,I hadn t uh hadn t not gotten any calls here in the last uh,farewell
705,Uh huh,accept
706,Uh huh,accept
707,Oh,accept
708,Throw the ball!,imperative
709,Uh huh,accept
710,Yeah,accept
711,Laughter Okay,accept
712,yeah,accept
713,Uh huh,accept
714,Yeah,accept
715,Yeah,accept
716,Yeah,accept
717,Uh huh,accept
718,Yeah,accept
719,stop eating too much,imperative
720,Oh,accept
721,Huh,accept
722,Yeah,accept
723,Yeah,accept
724,What s that,wh-question
725,Yeah,accept
726,yeah,accept
727,Yeah,accept
728,Right Tape ends with no further conversation,accept
729,When was the women 's suffrage amendment ratified ?,wh-question
730,Right,accept
731,"Who was the first elected mayor of Washington , D.C. ?",wh-question
732,Sure,accept
733,Huh uh,accept
734,I I m sure that the switchboard will probably give us that sign off message very shortly anyway,farewell
735,Uh huh,accept
736,yeah,accept
737,Yeah,accept
738,Yeah,accept
739,Yes,accept
740,Uh huh,accept
741,yes,accept
742,So really,accept
743,Well now what would you say about these everyday invasions of our privacy,wh-question
744,Yeah,accept
745,Oh I see,accept
746,Yeah,accept
747,Inhaling Yeah,accept
748,Yeah,accept
749,Yeah,accept
750,All right,accept
751,Send message to Google from alexa.,imperative
752,Well very possibly,accept
753,Uh huh,accept
754,How do you determine if a computer monitor has an SVGA adapter ?,wh-question
755,and how many administrators is that going to take,wh-question
756,What chapter of the Bible has the most verses ?,wh-question
757,Yeah,accept
758,Who else is uh oh,wh-question
759,Yeah,accept
760,Yeah,accept
761,But yeah,accept
762,Yeah,accept
763,Uh huh,accept
764,Yeah,accept
765,Right,accept
766,yeah,accept
767,Oh really,accept
768,How can I trace my family roots ?,wh-question
769,Uh huh,accept
770,Yeah,accept
771,And why would that be,wh-question
772,Uh,accept
773,Uh huh,accept
774,well tell me what kind of books have you read,wh-question
775,Really,accept
776,Yeah,accept
777,Uh huh,accept
778,Kosovo is a province of what country ?,wh-question
779,Uh huh,accept
780,Uh huh,accept
781,Yeah,accept
782,Yeah,accept
783,Yeah,accept
784,yes,accept
785,Yeah,accept
786,Right,accept
787,my name is Dolphene,greeting
788,Uh huh,accept
789,Yes,accept
790,Oh yes,accept
791,What are super balls made of ?,wh-question
792,Yes,accept
793,Yeah,accept
794,Um the the team I live and die with actually is the Red Sox mostly die,reject
795,Right,accept
796,Uh huh,accept
797,Oh,accept
798,uh huh,accept
799,Oh,accept
800,Yeah Huh sigh,accept
801,How do you say 2 in Latin ?,wh-question
802,Yeah,accept
803,Uh huh,accept
804,Yeah,accept
805,Yeah,accept
806,Right,accept
807,Uh huh,accept
808,Um,accept
809,Uh,accept
810,Right,accept
811,uh huh,accept
812,Uh huh,accept
813,yeah,accept
814,Bye bye,farewell
815,But what are you doing,wh-question
816,Yeah,accept
817,What is the chromosome number of an elephant ?,wh-question
818,How many mountains have been named for Presidents in the continental USA ?,wh-question
819,Right,accept
820,uh huh,accept
821,Uh huh,accept
822,Uh huh,accept
823,Right,accept
824,Right,accept
825,Uh huh,accept
826,Yeah,accept
827,Uh huh,accept
828,Right,accept
829,Yeah,accept
830,Which one is it,wh-question
831,Yeah,accept
832,Really,accept
833,Right,accept
834,Hi laughter,greeting
835,Yeah,accept
836,It was really nice speaking to you,farewell
837,Uh huh,accept
838,Uh huh,accept
839,Oh really,accept
840,Yeah,accept
841,Yeah,accept
842,Mix together sugar and salt.,imperative
843,Yeah,accept
844,Yeah,accept
845,Breathing Yeah,accept
846,And,accept
847,Yeah,accept
848,again,wh-question
849,Uh huh,accept
850,No,accept
851,Right,accept
852,Uh huh,accept
853,Yeah,accept
854,Yeah,accept
855,What 2 statues did France give to other countries ?,wh-question
856,Oh,accept
857,Uh huh,accept
858,Uh huh,accept
859,Yeah,accept
860,Uh huh,accept
861,uh huh,accept
862,Yeah,accept
863,Uh huh,accept
864,Uh huh,accept
865,Uh huh,accept
866,Um,accept
867,Uh huh,accept
868,But uh but uh what kind of uh what kind of what kind of grass are you growing,wh-question
869,Turn right in 200 feet,imperative
870,And about how much are they,wh-question
871,Uh huh,accept
872,Right,accept
873,Uh huh,accept
874,"What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?",wh-question
875,Uh huh,accept
876,Yeah,accept
877,Uh huh,accept
878,Yeah,accept
879,How much pizza do Americans eat in a day ?,wh-question
880,Yeah,accept
881,Uh huh,accept
882,Right,accept
883,Okay,accept
884,Uh huh,accept
885,Don't run from a fight.,imperative
886,Uh huh,accept
887,Uh huh,accept
888,Uh uh huh,accept
889,Yeah,accept
890,and cheap,accept
891,not really,reject
892,Uh huh,accept
893,Yeah well,accept
894,Very faint Uh huh,accept
895,Yeah,accept
896,Oh really,accept
897,Yeah,accept
898,Right,accept
899,Oh,accept
900,Oh,accept
901,What good are mosquitoes ?,wh-question
902,Oh uh huh,accept
903,Yeah,accept
904,Uh huh,accept
905,Oh sigh,accept
906,Yes,accept
907,Yeah,accept
908,I see,farewell
909,Yeah,accept
910,Oh okay,accept
911,Right,accept
912,Yeah,accept
913,uh huh,accept
914,Uh huh,accept
915,yeah,accept
916,Uh huh,accept
917,Uh huh,accept
918,Bye bye,farewell
919,I m not getting any news magazines,reject
920,Oh oh laughter,accept
921,Where where did you go,wh-question
922,Yeah,accept
923,Uh huh,accept
924,Yeah,accept
925,Yeah,accept
926,Uh huh,accept
927,Yeah,accept
928,Bye,farewell
929,Right,accept
930,What was the name of the cook on Rawhide ?,wh-question
931,uh huh,accept
932,Yeah,accept
933,yeah,accept
934,But I mean yeah laughter,accept
935,Yes,accept
936,Uh huh,accept
937,Uh huh,accept
938,Uh huh,accept
939,Yeah,accept
940,Uh huh,accept
941,Uh huh,accept
942,When was that on,wh-question
943,Yeah,accept
944,Uh huh,accept
945,Oh,accept
946,Uh huh,accept
947,Yeah,accept
948,Yeah,accept
949,Uh huh,accept
950,Very faint Yeah,accept
951,It s amazing how the you know people you talk to have some interesting conversations,farewell
952,Huh,accept
953,Uh huh,accept
954,Oh,accept
955,Uh huh,accept
956,Yeah,accept
957,Uh huh,accept
958,Where can I find the schematics to the windshield wiper mechanism ?,wh-question
959,Well not really,reject
960,Yeah,accept
961,Uh huh,accept
962,Uh huh,accept
963,Uh huh,accept
964,Uh huh,accept
965,or something like that,wh-question
966,Uh huh,accept
967,Yeah,accept
968,Oh,accept
969,but uh well Lynn I ve enjoyed talking with you,farewell
970,Yeah,accept
971,Right,accept
972,Yeah,accept
973,Well we I ve never never listened,reject
974,Yeah,accept
975,What basketball maneuver did Bert Loomis invent ?,wh-question
976,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",wh-question
977,Oh,accept
978,Uh huh,accept
979,Name the blind sculptress in love with the Fantastic Four 's Thing .,wh-question
980,Uh huh,accept
981,Yeah,accept
982,Yeah,accept
983,Who wrote The Godfather ?,wh-question
984,Not yet,reject
985,Uh huh,accept
986,Why why you even telling me this,wh-question
987,Uh huh,accept
988,Uh huh,accept
989,Yeah,accept
990,Yep,accept
991,Yeah,accept
992,Yeah,accept
993,Uh huh,accept
994,Uh huh,accept
995,Yeah,accept
996,where are you from,wh-question
997,Uh huh,accept
998,Yeah,accept
999,Uh so what do you do to exercise,wh-question
1000,Yeah,accept
1001,Uh huh,accept
1002,Um,accept
1003,Uh huh,accept
1004,Yeah,accept
1005,Right laughter,accept
1006,Uh huh,accept
1007,How do I find the balance of my social security account ?,wh-question
1008,Yeah,accept
1009,Yeah,accept
1010,Um,accept
1011,Uh huh,accept
1012,Uh huh,accept
1013,Yeah,accept
1014,Uh huh,accept
1015,Right,accept
1016,Talking Right siren,accept
1017,Um yeah,accept
1018,Uh huh,accept
1019,Uh huh,accept
1020,What now what night is that on now,wh-question
1021,yeah,accept
1022,Who is the leading competitor of Trans Union Company ?,wh-question
1023,Uh huh,accept
1024,Yeah,accept
1025,No,reject
1026,Yes,accept
1027,Yeah,accept
1028,Uh huh,accept
1029,Yeah,accept
1030,I think that was good,farewell
1031,Laughter Right,accept
1032,Uh huh,accept
1033,Yeah,accept
1034,How did you get rid of them,wh-question
1035,Yeah,accept
1036,Right,accept
1037,Yeah,accept
1038,No,accept
1039,Uh huh,accept
1040,Oh really laughter,accept
1041,So how old is your retriever,wh-question
1042,Right,accept
1043,Oh,accept
1044,Yeah,farewell
1045,Uh huh,accept
1046,Bye bye,farewell
1047,Yeah,accept
1048,Uh huh,accept
1049,Yeah,farewell
1050,Oh I don t think so,reject
1051,Yeah,accept
1052,Yeah,accept
1053,Name the two blob members of the animated Herculoids .,wh-question
1054,Oh really,accept
1055,How do I give a good massage ?,wh-question
1056,Yeah,accept
1057,Well then why did he say that during his campaign,wh-question
1058,Huh,accept
1059,like I say I ve made a couple of calls to Texas and,farewell
1060,yeah,accept
1061,Uh huh,accept
1062,Oh oh yeah,accept
1063,Uh huh,accept
1064,"What makes Black Hills , South Dakota a tourist attraction ?",wh-question
1065,I know,accept
1066,Uh huh,accept
1067,What is Smokey The Bear 's middle name ?,wh-question
1068,Uh huh,accept
1069,Who who do you work for,wh-question
1070,What are the seven virtues ?,wh-question
1071,Uh huh,accept
1072,Uh huh,accept
1073,Huh,accept
1074,Uh huh,accept
1075,Yeah,accept
1076,Uh huh,accept
1077,Which college did Dikembe Mutombo attend ?,wh-question
1078,Uh huh,accept
1079,Okay,accept
1080,Yeah,accept
1081,Yeah,accept
1082,Uh huh,accept
1083,Uh huh,accept
1084,Yeah,accept
1085,Who was Randy Steven Craft 's lawyer ?,wh-question
1086,uh huh,accept
1087,Yeah,accept
1088,Uh huh,accept
1089,Uh huh,accept
1090,"What is deadrise , nautical , ?",wh-question
1091,Yeah,accept
1092,yeah,accept
1093,Yes,accept
1094,Oh,accept
1095,Yeah,accept
1096,Uh huh,accept
1097,Yeah,accept
1098,Okay yeah,accept
1099,Oh yeah well,accept
1100,Uh huh,accept
1101,Uh,accept
1102,Right,accept
1103,Uh huh,accept
1104,Uh huh,accept
1105,Name the four stories contained in Edith Wharton 's `` Old New York . '',wh-question
1106,Yeah,accept
1107,Buy me some time.,imperative
1108,Uh huh,accept
1109,All right,accept
1110,I mean but where are they where are they,wh-question
